A** Eating Made Simple, Nancy Mohrbacher
Harry Potter and the Philosopher's Stone, J.K. Rowling
Human Taxidermy: A Beginner's Guide, Charles Waterton
The Art of War, Sun Tzu
Zen and the Art of Motorcycle Maintenance, Robert Pirsig
Gödel, Escher, Bach, Douglas Hofstadter
A Game of Thrones, George Martin
Amazing Spider-Man, Stan Lee
Playing to Win: Becoming the Champion, David Sirlin
The Art of Learning, Joshua Waitzkin
The Brothers Karamazov, Fyodor Dostoyevsky
Republic, Plato
EveryDayCook, Alton Brown
Asterix, Rene Goscinny
Redwall, Brian Jacques
Knights of the Black and White, Jack Whyte
Animal Farm, George Orwell
The Anarchist Cookbook, William Powell
Pro Git, Scott Chacon
Java: The Complete Reference, Herbert Schildt
The Metamorphosis, Franz Kafka
The Psychology of Doping in Sport, Vassilis Barkoukis
The Way of the Fight, Georges St-Pierre
The Stranger, Albert Camus
All About A's, Jack Weiss
